               SF4O    SF4O    SF4O    SF4O  CYS3
              FE17O   FE19O   FE21O   FE23O   C1O
CYS3   S1O    0.224   0.223   0.222   0.223 0.184
SF4O  S18O    0.216   0.214           0.216
SF4O  S20O    0.216   0.216   0.215
SF4O  S22O    0.214           0.217   0.215
SF4O  S24O            0.218   0.216   0.216

